id,name,involveAs,profile_id,created_at,updated_at
59,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,20,"2010-06-16 07:14:56","2010-06-16 07:14:56"
60,"ค่าย 12/3 วันที่ 2-8 เม.ย.2553 (ม.วลัยลักษณ์)",นักเรียน,20,"2010-06-16 07:15:06","2010-06-16 07:15:06"
61,"ค่าย 13/1 วันที่ 3-8 พ.ค.2553 (มจธ.)",รุ่นพี่,20,"2010-06-16 07:15:15","2010-06-16 11:56:54"
62,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,21,"2010-06-16 07:22:48","2010-06-16 07:22:48"
63,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,21,"2010-06-16 07:23:15","2010-06-16 07:23:15"
64,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,21,"2010-06-16 07:24:04","2010-06-16 07:24:04"
65,"ค่าย 12/3 วันที่ 2-8 เม.ย.2553 (ม.วลัยลักษณ์)",นักเรียน,21,"2010-06-16 07:24:17","2010-06-16 07:24:17"
66,"ค่าย 13/1 วันที่ 3-8 พ.ค.2553 (มจธ.)",รุ่นพี่,21,"2010-06-16 07:24:51","2010-06-16 11:56:26"
67,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,22,"2010-06-16 07:57:39","2010-06-16 07:57:39"
68,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,22,"2010-06-16 07:57:50","2010-06-16 07:57:50"
69,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,22,"2010-06-16 07:58:04","2010-06-16 07:58:04"
70,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,22,"2010-06-16 07:58:16","2010-06-16 07:58:16"
71,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,22,"2010-06-16 07:58:28","2010-06-16 07:58:28"
72,"ค่าย 12/3 วันที่ 2-8 เม.ย.2553 (ม.วลัยลักษณ์)",นักเรียน,22,"2010-06-16 07:58:37","2010-06-16 07:58:37"
73,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,23,"2010-06-16 08:04:14","2010-06-16 08:04:14"
74,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,23,"2010-06-16 08:04:26","2010-06-16 08:04:26"
75,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,23,"2010-06-16 08:04:40","2010-06-16 08:04:40"
76,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,23,"2010-06-16 08:05:00","2010-06-16 08:05:15"
77,"ค่าย 12/3 วันที่ 2-8 เม.ย.2553 (ม.วลัยลักษณ์)",นักเรียน,23,"2010-06-16 08:05:27","2010-06-16 08:05:27"
78,"ค่าย 13/1 วันที่ 3-8 พ.ค.2553 (มจธ.)",รุ่นพี่,23,"2010-06-16 08:05:38","2010-06-16 11:55:59"
